Group 1,Group 2,H,p-value,q-value
1945 (n=1),1957 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),1985 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),1986 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),1994 (n=2),1.5,0.22067136191984324,0.6319225364068238
1945 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),1998 (n=2),0.0,1.0,1.0
1945 (n=1),2000 (n=6),2.25,0.13361440253771584,0.6319225364068238
1945 (n=1),2002 (n=5),0.7714285714285722,0.37977547484094853,0.725025906514538
1945 (n=1),2003 (n=2),0.0,1.0,1.0
1945 (n=1),2005 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1945 (n=1),2006 (n=2),0.0,1.0,1.0
1945 (n=1),2007 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1945 (n=1),2008 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),2009 (n=3),1.8000000000000007,0.17971249487899588,0.6319225364068238
1945 (n=1),2010 (n=5),2.1428571428571423,0.14323490752466572,0.6319225364068238
1945 (n=1),2011 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),2012 (n=2),1.5,0.22067136191984324,0.6319225364068238
1945 (n=1),2013 (n=2),1.5,0.22067136191984324,0.6319225364068238
1945 (n=1),2014 (n=5),0.08571428571428541,0.7696979437812901,0.9862570262689072
1945 (n=1),2015 (n=4),0.5,0.47950012218695337,0.7880480268985609
1945 (n=1),2016 (n=2),1.5,0.22067136191984324,0.6319225364068238
1945 (n=1),2017 (n=2),0.0,1.0,1.0
1945 (n=1),2018 (n=2),1.5,0.22067136191984324,0.6319225364068238
1945 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6379966594264916
1945 (n=1),2020 (n=2),1.5,0.22067136191984324,0.6319225364068238
1945 (n=1),old (n=3),1.8000000000000007,0.17971249487899588,0.6319225364068238
1957 (n=1),1985 (n=1),1.0,0.31731050786291115,0.6379966594264916
1957 (n=1),1986 (n=1),1.0,0.31731050786291115,0.6379966594264916
1957 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6379966594264916
1957 (n=1),1994 (n=2),1.5,0.22067136191984324,0.6319225364068238
1957 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6379966594264916
1957 (n=1),1998 (n=2),0.0,1.0,1.0
1957 (n=1),2000 (n=6),2.25,0.13361440253771584,0.6319225364068238
1957 (n=1),2002 (n=5),0.7714285714285722,0.37977547484094853,0.725025906514538
1957 (n=1),2003 (n=2),0.0,1.0,1.0
1957 (n=1),2005 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1957 (n=1),2006 (n=2),1.5,0.22067136191984324,0.6319225364068238
1957 (n=1),2007 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1957 (n=1),2008 (n=1),1.0,0.31731050786291115,0.6379966594264916
1957 (n=1),2009 (n=3),1.8000000000000007,0.17971249487899588,0.6319225364068238
1957 (n=1),2010 (n=5),2.1428571428571423,0.14323490752466572,0.6319225364068238
1957 (n=1),2011 (n=1),1.0,0.31731050786291115,0.6379966594264916
1957 (n=1),2012 (n=2),1.5,0.22067136191984324,0.6319225364068238
1957 (n=1),2013 (n=2),1.5,0.22067136191984324,0.6319225364068238
1957 (n=1),2014 (n=5),0.7714285714285722,0.37977547484094853,0.725025906514538
1957 (n=1),2015 (n=4),0.5,0.47950012218695337,0.7880480268985609
1957 (n=1),2016 (n=2),1.5,0.22067136191984324,0.6319225364068238
1957 (n=1),2017 (n=2),0.0,1.0,1.0
1957 (n=1),2018 (n=2),1.5,0.22067136191984324,0.6319225364068238
1957 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6379966594264916
1957 (n=1),2020 (n=2),1.5,0.22067136191984324,0.6319225364068238
1957 (n=1),old (n=3),1.8000000000000007,0.17971249487899588,0.6319225364068238
1985 (n=1),1986 (n=1),1.0,0.31731050786291115,0.6379966594264916
1985 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6379966594264916
1985 (n=1),1994 (n=2),1.5,0.22067136191984324,0.6319225364068238
1985 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6379966594264916
1985 (n=1),1998 (n=2),1.5,0.22067136191984324,0.6319225364068238
1985 (n=1),2000 (n=6),0.25,0.6170750774519739,0.8714242246303601
1985 (n=1),2002 (n=5),2.1428571428571423,0.14323490752466572,0.6319225364068238
1985 (n=1),2003 (n=2),1.5,0.22067136191984324,0.6319225364068238
1985 (n=1),2005 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1985 (n=1),2006 (n=2),1.5,0.22067136191984324,0.6319225364068238
1985 (n=1),2007 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1985 (n=1),2008 (n=1),1.0,0.31731050786291115,0.6379966594264916
1985 (n=1),2009 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1985 (n=1),2010 (n=5),2.1428571428571423,0.14323490752466572,0.6319225364068238
1985 (n=1),2011 (n=1),1.0,0.31731050786291115,0.6379966594264916
1985 (n=1),2012 (n=2),1.5,0.22067136191984324,0.6319225364068238
1985 (n=1),2013 (n=2),0.0,1.0,1.0
1985 (n=1),2014 (n=5),2.1428571428571423,0.14323490752466572,0.6319225364068238
1985 (n=1),2015 (n=4),2.0,0.15729920705028105,0.6319225364068238
1985 (n=1),2016 (n=2),1.5,0.22067136191984324,0.6319225364068238
1985 (n=1),2017 (n=2),1.5,0.22067136191984324,0.6319225364068238
1985 (n=1),2018 (n=2),0.0,1.0,1.0
1985 (n=1),2019 (n=1),1.0,0.31731050786291115,0.6379966594264916
1985 (n=1),2020 (n=2),0.0,1.0,1.0
1985 (n=1),old (n=3),1.8000000000000007,0.17971249487899588,0.6319225364068238
1986 (n=1),1990 (n=1),1.0,0.31731050786291115,0.6379966594264916
1986 (n=1),1994 (n=2),1.5,0.22067136191984324,0.6319225364068238
1986 (n=1),1995 (n=1),1.0,0.31731050786291115,0.6379966594264916
1986 (n=1),1998 (n=2),1.5,0.22067136191984324,0.6319225364068238
1986 (n=1),2000 (n=6),0.25,0.6170750774519739,0.8714242246303601
1986 (n=1),2002 (n=5),2.1428571428571423,0.14323490752466572,0.6319225364068238
1986 (n=1),2003 (n=2),1.5,0.22067136191984324,0.6319225364068238
1986 (n=1),2005 (n=3),0.1999999999999993,0.6547208460185774,0.8714242246303601
1986 (n=1),2006 (n=2),1.5,0.22067136191984324,0.6319225364068238
