id	site_code	Site	plot_number	Year_est	Age	OS_location	Lat_long	Establishment	Cutting	Cattle	Sheep	Plough	pH_category	Age_category	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric
GF146	1	Whitelands_2018_19	Q1	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	0.707526180074788
GF147	NA	Whitelands_2018_19	Q4	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	0.706579212072564
GF148	NA	Whitelands_2018_19	Q7	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	0.598217433252773
GF149	NA	Whitelands_2018_19	Q10	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	0.755332542296471
GF150	NA	Whitelands_2018_19	Q13	2018	3	SU2990087100	51.581972, -1.5698756	seed_mix	No	No	Yes	Yes	Above_median	Below_median	0.593872517309556
GF151	2	Castle_Field_West_(W)	Q1	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.768121313570997
GF152	NA	Castle_Field_West_(W)	Q4	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.727552327768397
GF153	NA	Castle_Field_West_(W)	Q7	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.642280339227173
GF154	NA	Castle_Field_West_(W)	Q10	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.828755840330776
GF155	NA	Castle_Field_West_(W)	Q13	2002	19	SU2950086200	51.573901, -1.5757235	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.586391103901398
GF156	3	Toposcope_Field_-_1980s	Q1	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	0.825202780828858
GF157	NA	Toposcope_Field_-_1980s	Q4	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	0.584090187205599
GF158	NA	Toposcope_Field_-_1980s	Q7	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	0.704990123003604
GF159	NA	Toposcope_Field_-_1980s	Q10	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	0.635573942635
GF160	NA	Toposcope_Field_-_1980s	Q13	1985	36	SU2950086600	51.577497, -1.5756901	Natural_regen	No	Yes	Yes	No	Above_median	Above_median	0.621977635589093
GF161	4	Bradenham_post-1986_b	Q1	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.730906261933684
GF162	NA	Bradenham_post-1986_b	Q4	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.744618604838972
GF163	NA	Bradenham_post-1986_b	Q7	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.753150097681963
GF164	NA	Bradenham_post-1986_b	Q10	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.678892479083048
GF165	NA	Bradenham_post-1986_b	Q13	1986	35	SU8290097718	51.672127, -0.80258692	seed_mix	No	Yes	Yes	Yes	Below_median	Above_median	0.660465821697478
GF167	NA	Lardon_Chase_The_Holies_motorcycle	Q4	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	0.662877651986209
GF168	NA	Lardon_Chase_The_Holies_motorcycle	Q7	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	0.736807286514606
GF169	NA	Lardon_Chase_The_Holies_motorcycle	Q10	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	0.849390444257296
GF170	NA	Lardon_Chase_The_Holies_motorcycle	Q13	2007	14	SU5930079800	51.514021, -1.1468383	Natural_regen	No	No	Yes	No	Above_median	Below_median	0.52680840163796
