Group 1,Group 2,H,p-value,q-value
1 (n=2),10 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),11 (n=5),3.75,0.052807511416113395,0.6700747037551978
1 (n=2),12 (n=3),3.0,0.08326451666355042,0.6700747037551978
1 (n=2),13 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),14 (n=3),1.3333333333333321,0.2482130789899204,0.6700747037551978
1 (n=2),15 (n=2),2.3999999999999986,0.12133525035848367,0.6700747037551978
1 (n=2),16 (n=3),3.0,0.08326451666355042,0.6700747037551978
1 (n=2),18 (n=2),2.3999999999999986,0.12133525035848367,0.6700747037551978
1 (n=2),19 (n=5),3.75,0.052807511416113395,0.6700747037551978
1 (n=2),2 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),21 (n=6),4.0,0.04550026389635857,0.6700747037551978
1 (n=2),23 (n=2),2.3999999999999986,0.12133525035848367,0.6700747037551978
1 (n=2),26 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),27 (n=2),2.3999999999999986,0.12133525035848367,0.6700747037551978
1 (n=2),3 (n=2),0.5999999999999996,0.43857802608099994,0.78199289555952
1 (n=2),31 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),35 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),36 (n=1),0.0,1.0,1.0
1 (n=2),4 (n=2),2.3999999999999986,0.12133525035848367,0.6700747037551978
1 (n=2),5 (n=2),2.3999999999999986,0.12133525035848367,0.6700747037551978
1 (n=2),6 (n=4),3.428571428571427,0.06407750645105924,0.6700747037551978
1 (n=2),64 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),7 (n=5),3.75,0.052807511416113395,0.6700747037551978
1 (n=2),76 (n=1),1.5,0.22067136191984324,0.6700747037551978
1 (n=2),8 (n=2),2.3999999999999986,0.12133525035848367,0.6700747037551978
1 (n=2),9 (n=2),0.5999999999999996,0.43857802608099994,0.78199289555952
1 (n=2),>100 (n=3),3.0,0.08326451666355042,0.6700747037551978
10 (n=1),11 (n=5),0.7714285714285722,0.37977547484094853,0.7438089610874536
10 (n=1),12 (n=3),0.1999999999999993,0.6547208460185774,0.9410056265970469
10 (n=1),13 (n=1),1.0,0.31731050786291115,0.6700747037551978
10 (n=1),14 (n=3),0.1999999999999993,0.6547208460185774,0.9410056265970469
10 (n=1),15 (n=2),1.5,0.22067136191984324,0.6700747037551978
10 (n=1),16 (n=3),1.8000000000000007,0.17971249487899588,0.6700747037551978
10 (n=1),18 (n=2),1.5,0.22067136191984324,0.6700747037551978
